iter	Passed	Remaining
0	1	165
1	3	155
2	4	153
3	5	140
4	7	141
5	8	139
6	10	136
7	11	135
8	13	133
9	14	131
10	15	129
11	17	127
12	19	127
13	20	125
14	21	124
15	23	122
16	24	120
17	25	118
18	27	116
19	28	114
20	30	113
21	31	111
22	32	110
23	34	108
24	35	107
25	37	105
26	38	103
27	39	101
28	40	99
29	41	97
30	42	95
31	43	93
32	44	91
33	45	89
34	47	87
35	48	85
36	49	83
37	50	82
38	51	80
39	52	78
40	53	76
41	53	74
42	54	72
43	56	71
44	57	69
45	58	68
46	59	66
47	60	65
48	61	63
49	62	62
50	63	60
51	64	59
52	65	58
53	66	56
54	67	54
55	68	53
56	69	52
57	70	50
58	71	49
59	72	48
60	73	46
61	74	45
62	75	44
63	76	43
64	78	42
65	79	40
66	80	39
67	81	38
68	82	36
69	83	35
70	84	34
71	85	33
72	86	31
73	87	30
74	88	29
75	89	28
76	90	27
77	91	25
78	92	24
79	93	23
80	94	22
81	95	21
82	96	19
83	98	18
84	99	17
85	100	16
86	101	15
87	102	13
88	103	12
89	104	11
90	105	10
91	106	9
92	107	8
93	108	6
94	109	5
95	110	4
96	111	3
97	112	2
98	113	1
99	114	0
